n_nodes,n_clusters,pure_nodes_number,seed,method,matrix,error,time
4500,3,3,4,GeoNMF,B,0.154036761664,366.952330112
5000,3,3,0,SPOC_bootstrap,Theta,0.0264687106586,9.20301389694
5000,3,3,0,SPOC_bootstrap,B,0.0369909179694,9.20301389694
5000,3,3,0,SPOC,Theta,0.0344973155709,0.853413105011
5000,3,3,0,SPOC,B,0.0868167520656,0.853413105011
5000,3,3,0,GeoNMF,Theta,0.0263298468465,432.214812994
5000,3,3,0,GeoNMF,B,0.152613436214,432.214812994
5000,3,3,1,SPOC_bootstrap,Theta,0.0325587462686,7.92836809158
5000,3,3,1,SPOC_bootstrap,B,0.0214989266905,7.92836809158
5000,3,3,1,SPOC,Theta,0.0460588361596,0.996056079865
5000,3,3,1,SPOC,B,0.092979868818,0.996056079865
5000,3,3,1,GeoNMF,Theta,0.030900767801,456.872335911
5000,3,3,1,GeoNMF,B,0.105200835705,456.872335911
5000,3,3,2,SPOC_bootstrap,Theta,0.029612664997,9.06077694893
5000,3,3,2,SPOC_bootstrap,B,0.0305418683849,9.06077694893
5000,3,3,2,SPOC,Theta,0.0386510790703,1.04761099815
5000,3,3,2,SPOC,B,0.0767632188632,1.04761099815
5000,3,3,2,GeoNMF,Theta,0.030369219603,464.026143074
5000,3,3,2,GeoNMF,B,0.133076398331,464.026143074
5000,3,3,3,SPOC_bootstrap,Theta,0.028580558439,8.99693202972
5000,3,3,3,SPOC_bootstrap,B,0.0346874897489,8.99693202972
5000,3,3,3,SPOC,Theta,0.0367609450641,0.857419013977
5000,3,3,3,SPOC,B,0.0930862184922,0.857419013977
5000,3,3,3,GeoNMF,Theta,0.0314111099361,457.656642914
5000,3,3,3,GeoNMF,B,0.131332234743,457.656642914
5000,3,3,4,SPOC_bootstrap,Theta,0.0314610143038,9.85596084595
5000,3,3,4,SPOC_bootstrap,B,0.0733025154061,9.85596084595
5000,3,3,4,SPOC,Theta,0.0333056865666,1.0893599987
5000,3,3,4,SPOC,B,0.0792886244225,1.0893599987
5000,3,3,4,GeoNMF,Theta,0.0297233629151,399.36227417
5000,3,3,4,GeoNMF,B,0.156035475182,399.36227417
