n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.5,4,GeoNMF,B,0.857240767841
1000,3,3,0.5,5,SPOC_bootstrap,Theta,0.0998061820659
1000,3,3,0.5,5,SPOC_bootstrap,B,0.862202134274
1000,3,3,0.5,5,SPOC,Theta,0.128323391742
1000,3,3,0.5,5,SPOC,B,0.613261793854
1000,3,3,0.5,5,GeoNMF,Theta,0.089874549922
1000,3,3,0.5,5,GeoNMF,B,0.854633244411
1000,3,3,0.5,6,SPOC_bootstrap,Theta,0.101653085034
1000,3,3,0.5,6,SPOC_bootstrap,B,0.843602207928
1000,3,3,0.5,6,SPOC,Theta,0.123394972522
1000,3,3,0.5,6,SPOC,B,0.610127221674
1000,3,3,0.5,6,GeoNMF,Theta,0.0954833044389
1000,3,3,0.5,6,GeoNMF,B,0.816287703067
1000,3,3,0.5,7,SPOC_bootstrap,Theta,0.0888954426278
1000,3,3,0.5,7,SPOC_bootstrap,B,0.839695422594
1000,3,3,0.5,7,SPOC,Theta,0.126081435137
1000,3,3,0.5,7,SPOC,B,0.586427085214
1000,3,3,0.5,7,GeoNMF,Theta,0.0769485105181
1000,3,3,0.5,7,GeoNMF,B,0.843938887605
1000,3,3,0.5,8,SPOC_bootstrap,Theta,0.0945687982731
1000,3,3,0.5,8,SPOC_bootstrap,B,0.883897958581
1000,3,3,0.5,8,SPOC,Theta,0.129560962877
1000,3,3,0.5,8,SPOC,B,0.60574078348
1000,3,3,0.5,8,GeoNMF,Theta,0.0929221868435
1000,3,3,0.5,8,GeoNMF,B,0.788377202107
1000,3,3,0.5,9,SPOC_bootstrap,Theta,0.116850314978
1000,3,3,0.5,9,SPOC_bootstrap,B,0.822194607816
1000,3,3,0.5,9,SPOC,Theta,0.148589213815
1000,3,3,0.5,9,SPOC,B,0.565690497987
1000,3,3,0.5,9,GeoNMF,Theta,0.109705679758
1000,3,3,0.5,9,GeoNMF,B,0.767997578098
1000,3,3,0.6,0,SPOC_bootstrap,Theta,0.0806043434274
1000,3,3,0.6,0,SPOC_bootstrap,B,0.723669582818
1000,3,3,0.6,0,SPOC,Theta,0.106698579258
1000,3,3,0.6,0,SPOC,B,0.478032303931
1000,3,3,0.6,0,GeoNMF,Theta,0.0973372369747
1000,3,3,0.6,0,GeoNMF,B,0.705999616799
1000,3,3,0.6,1,SPOC_bootstrap,Theta,0.08472014639
1000,3,3,0.6,1,SPOC_bootstrap,B,0.736622713364
1000,3,3,0.6,1,SPOC,Theta,0.112010418842
1000,3,3,0.6,1,SPOC,B,0.429156754432
1000,3,3,0.6,1,GeoNMF,Theta,0.0898365773119
1000,3,3,0.6,1,GeoNMF,B,0.690434515761
1000,3,3,0.6,2,SPOC_bootstrap,Theta,0.0867691205691
1000,3,3,0.6,2,SPOC_bootstrap,B,0.689597315236
1000,3,3,0.6,2,SPOC,Theta,0.111882033628
1000,3,3,0.6,2,SPOC,B,0.450098447139
1000,3,3,0.6,2,GeoNMF,Theta,0.0787856555886
1000,3,3,0.6,2,GeoNMF,B,0.704660359705
1000,3,3,0.6,3,SPOC_bootstrap,Theta,0.0913073586633
1000,3,3,0.6,3,SPOC_bootstrap,B,0.658396575058
1000,3,3,0.6,3,SPOC,Theta,0.119027682038
1000,3,3,0.6,3,SPOC,B,0.420321291535
1000,3,3,0.6,3,GeoNMF,Theta,0.0892601452608
1000,3,3,0.6,3,GeoNMF,B,0.714284797487
