n_nodes,n_clusters,pure_nodes_number,alpha,seed,method,matrix,error
1000,3,3,2.5,7,basic_SPA,B,0.156116164779
1000,3,3,2.5,7,bootstrap_SPA,Theta,0.154013357852
1000,3,3,2.5,7,bootstrap_SPA,B,0.228003884774
1000,3,3,2.5,8,Geo_NMF,Theta,0.160325108741
1000,3,3,2.5,8,Geo_NMF,B,0.0850721586212
1000,3,3,2.5,8,basic_SPA,Theta,0.159668189522
1000,3,3,2.5,8,basic_SPA,B,0.153592713778
1000,3,3,2.5,8,bootstrap_SPA,Theta,0.186817922181
1000,3,3,2.5,8,bootstrap_SPA,B,0.212607452876
1000,3,3,2.5,9,Geo_NMF,Theta,0.161978142475
1000,3,3,2.5,9,Geo_NMF,B,0.165613431883
1000,3,3,2.5,9,basic_SPA,Theta,0.143822827857
1000,3,3,2.5,9,basic_SPA,B,0.211170141655
1000,3,3,2.5,9,bootstrap_SPA,Theta,0.173447609378
1000,3,3,2.5,9,bootstrap_SPA,B,0.290235654215
1000,3,3,3.0,0,Geo_NMF,Theta,0.152024010759
1000,3,3,3.0,0,Geo_NMF,B,0.115529089887
1000,3,3,3.0,0,basic_SPA,Theta,0.156777333754
1000,3,3,3.0,0,basic_SPA,B,0.0934117362728
1000,3,3,3.0,0,bootstrap_SPA,Theta,0.169920240628
1000,3,3,3.0,0,bootstrap_SPA,B,0.235677642947
1000,3,3,3.0,1,Geo_NMF,Theta,0.168803189546
1000,3,3,3.0,1,Geo_NMF,B,0.204214568787
1000,3,3,3.0,1,basic_SPA,Theta,0.178476795349
1000,3,3,3.0,1,basic_SPA,B,0.139574970367
1000,3,3,3.0,1,bootstrap_SPA,Theta,0.189567261472
1000,3,3,3.0,1,bootstrap_SPA,B,0.30770972545
1000,3,3,3.0,2,Geo_NMF,Theta,0.159495392252
1000,3,3,3.0,2,Geo_NMF,B,0.141880241778
1000,3,3,3.0,2,basic_SPA,Theta,0.148558977644
1000,3,3,3.0,2,basic_SPA,B,0.198409230856
1000,3,3,3.0,2,bootstrap_SPA,Theta,0.17580286611
1000,3,3,3.0,2,bootstrap_SPA,B,0.203644536098
1000,3,3,3.0,3,Geo_NMF,Theta,0.156031393096
1000,3,3,3.0,3,Geo_NMF,B,0.112791393139
1000,3,3,3.0,3,basic_SPA,Theta,0.154702468386
1000,3,3,3.0,3,basic_SPA,B,0.0757521646185
1000,3,3,3.0,3,bootstrap_SPA,Theta,0.161089954431
1000,3,3,3.0,3,bootstrap_SPA,B,0.220524987841
1000,3,3,3.0,4,Geo_NMF,Theta,0.171351854973
1000,3,3,3.0,4,Geo_NMF,B,0.11190986907
1000,3,3,3.0,4,basic_SPA,Theta,0.161269380748
1000,3,3,3.0,4,basic_SPA,B,0.161743371297
1000,3,3,3.0,4,bootstrap_SPA,Theta,0.16432186113
1000,3,3,3.0,4,bootstrap_SPA,B,0.204261824715
1000,3,3,3.0,5,Geo_NMF,Theta,0.158773585076
1000,3,3,3.0,5,Geo_NMF,B,0.144938169512
1000,3,3,3.0,5,basic_SPA,Theta,0.157860071322
1000,3,3,3.0,5,basic_SPA,B,0.134798878751
1000,3,3,3.0,5,bootstrap_SPA,Theta,0.176813909013
1000,3,3,3.0,5,bootstrap_SPA,B,0.262739539295
1000,3,3,3.0,6,Geo_NMF,Theta,0.174929292331
1000,3,3,3.0,6,Geo_NMF,B,0.0718069846626
1000,3,3,3.0,6,basic_SPA,Theta,0.171710426494
1000,3,3,3.0,6,basic_SPA,B,0.15476029442
1000,3,3,3.0,6,bootstrap_SPA,Theta,0.17630575
1000,3,3,3.0,6,bootstrap_SPA,B,0.242974059189
1000,3,3,3.0,7,Geo_NMF,Theta,0.17631307306
1000,3,3,3.0,7,Geo_NMF,B,0.200359516303
1000,3,3,3.0,7,basic_SPA,Theta,0.171570112252
1000,3,3,3.0,7,basic_SPA,B,0.178394662553
1000,3,3,3.0,7,bootstrap_SPA,Theta,0.191559786481
1000,3,3,3.0,7,bootstrap_SPA,B,0.325884924046
1000,3,3,3.0,8,Geo_NMF,Theta,0.158331590418
1000,3,3,3.0,8,Geo_NMF,B,0.146831310175
1000,3,3,3.0,8,basic_SPA,Theta,0.153409680221
1000,3,3,3.0,8,basic_SPA,B,0.123093977821
1000,3,3,3.0,8,bootstrap_SPA,Theta,0.178146103279
1000,3,3,3.0,8,bootstrap_SPA,B,0.241251169705
1000,3,3,3.0,9,Geo_NMF,Theta,0.170186782095
1000,3,3,3.0,9,Geo_NMF,B,0.108781342073
1000,3,3,3.0,9,basic_SPA,Theta,0.17066326318
1000,3,3,3.0,9,basic_SPA,B,0.141691003242
1000,3,3,3.0,9,bootstrap_SPA,Theta,0.179523132669
1000,3,3,3.0,9,bootstrap_SPA,B,0.208488019412
1000,3,3,3.5,0,Geo_NMF,Theta,0.215200224213
1000,3,3,3.5,0,Geo_NMF,B,0.160226752014
1000,3,3,3.5,0,basic_SPA,Theta,0.197062624906
1000,3,3,3.5,0,basic_SPA,B,0.349798471088
1000,3,3,3.5,0,bootstrap_SPA,Theta,0.222198746358
1000,3,3,3.5,0,bootstrap_SPA,B,0.405604996729
1000,3,3,3.5,1,Geo_NMF,Theta,0.192251823895
1000,3,3,3.5,1,Geo_NMF,B,0.204618066417
1000,3,3,3.5,1,basic_SPA,Theta,0.163699511361
1000,3,3,3.5,1,basic_SPA,B,0.139197443949
1000,3,3,3.5,1,bootstrap_SPA,Theta,0.196083894969
1000,3,3,3.5,1,bootstrap_SPA,B,0.350217117968
1000,3,3,3.5,2,Geo_NMF,Theta,0.198524830034
1000,3,3,3.5,2,Geo_NMF,B,0.171606442469
1000,3,3,3.5,2,basic_SPA,Theta,0.196470512539
1000,3,3,3.5,2,basic_SPA,B,0.14478840527
1000,3,3,3.5,2,bootstrap_SPA,Theta,0.225699442304
1000,3,3,3.5,2,bootstrap_SPA,B,0.352517620097
1000,3,3,3.5,3,Geo_NMF,Theta,0.198688447045
1000,3,3,3.5,3,Geo_NMF,B,0.175919011977
1000,3,3,3.5,3,basic_SPA,Theta,0.189744614038
1000,3,3,3.5,3,basic_SPA,B,0.157343318351
1000,3,3,3.5,3,bootstrap_SPA,Theta,0.215941486832
1000,3,3,3.5,3,bootstrap_SPA,B,0.30135456328
1000,3,3,3.5,4,Geo_NMF,Theta,0.169112993339
1000,3,3,3.5,4,Geo_NMF,B,0.152899607774
1000,3,3,3.5,4,basic_SPA,Theta,0.169949905026
1000,3,3,3.5,4,basic_SPA,B,0.15890375928
1000,3,3,3.5,4,bootstrap_SPA,Theta,0.196352922595
1000,3,3,3.5,4,bootstrap_SPA,B,0.298188868641
1000,3,3,3.5,5,Geo_NMF,Theta,0.186182993835
1000,3,3,3.5,5,Geo_NMF,B,0.147633546674
1000,3,3,3.5,5,basic_SPA,Theta,0.217629125664
1000,3,3,3.5,5,basic_SPA,B,0.242773669378
1000,3,3,3.5,5,bootstrap_SPA,Theta,0.240038094942
