n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.2,8,bootstrap_SPA,Theta,0.889533858666
1000,3,3,0.2,8,bootstrap_SPA,B,0.555884254067
1000,3,3,0.2,9,Geo_NMF,Theta,0.842285900577
1000,3,3,0.2,9,Geo_NMF,B,0.673511035803
1000,3,3,0.2,9,basic_SPA,Theta,0.815145315793
1000,3,3,0.2,9,basic_SPA,B,0.748524681888
1000,3,3,0.2,9,bootstrap_SPA,Theta,0.874452854537
1000,3,3,0.2,9,bootstrap_SPA,B,0.518158043272
1000,3,3,0.25,0,Geo_NMF,Theta,0.842903262326
1000,3,3,0.25,0,Geo_NMF,B,0.904351307836
1000,3,3,0.25,0,basic_SPA,Theta,0.84073015362
1000,3,3,0.25,0,basic_SPA,B,0.914060446017
1000,3,3,0.25,0,bootstrap_SPA,Theta,0.886646556099
1000,3,3,0.25,0,bootstrap_SPA,B,0.650975421885
1000,3,3,0.25,1,Geo_NMF,Theta,0.874751004349
1000,3,3,0.25,1,Geo_NMF,B,0.783659330481
1000,3,3,0.25,1,basic_SPA,Theta,0.84243246308
1000,3,3,0.25,1,basic_SPA,B,0.935287231369
1000,3,3,0.25,1,bootstrap_SPA,Theta,0.886846295008
1000,3,3,0.25,1,bootstrap_SPA,B,0.623381533582
1000,3,3,0.25,2,Geo_NMF,Theta,0.837457399094
1000,3,3,0.25,2,Geo_NMF,B,0.978127168267
1000,3,3,0.25,2,basic_SPA,Theta,0.82067589938
1000,3,3,0.25,2,basic_SPA,B,0.930453936632
1000,3,3,0.25,2,bootstrap_SPA,Theta,0.891667136316
1000,3,3,0.25,2,bootstrap_SPA,B,0.588823341733
1000,3,3,0.25,3,Geo_NMF,Theta,0.829070260097
1000,3,3,0.25,3,Geo_NMF,B,1.08397748237
1000,3,3,0.25,3,basic_SPA,Theta,0.838727360306
1000,3,3,0.25,3,basic_SPA,B,1.1356729738
1000,3,3,0.25,3,bootstrap_SPA,Theta,0.870888910741
1000,3,3,0.25,3,bootstrap_SPA,B,0.716860034127
1000,3,3,0.25,4,Geo_NMF,Theta,0.848134881066
1000,3,3,0.25,4,Geo_NMF,B,0.871319063018
1000,3,3,0.25,4,basic_SPA,Theta,0.817866440803
1000,3,3,0.25,4,basic_SPA,B,0.866604733787
1000,3,3,0.25,4,bootstrap_SPA,Theta,0.8904819112
1000,3,3,0.25,4,bootstrap_SPA,B,0.588930838275
1000,3,3,0.25,5,Geo_NMF,Theta,0.882643044452
1000,3,3,0.25,5,Geo_NMF,B,0.754001130739
